Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
172,Erpa Disco Amarillo 230 Segmentado,Jhns-DscoSegmenAmari230-Sant-Z2B,Jhns,DscoSegmenAmari230,Sant,Z2B
173,Codo Aw 45 H-H 63,Jhn-CD45HH63-Sant-Z2B,Jhn,CD45HH63,Sant,Z2B
174,Solucion Losung Lubricante 400 CC,Kp-SolucLubric400-Elect-Z1A,Kp,SolucLubric400,Elect,Z1A
175,Codo Aw 90 M-H 63,Kp-CD90MH63-Elect-Z1A,Kp,CD90MH63,Elect,Z1A
176,Ramal Aw 45 40X40 M-H,Kp-RM45MH40X40-Elect-Z1A,Kp,RM45MH40X40,Elect,Z1A
177,Codo Aw Hembra Corta H-H 40,Kp-CDHEMBR40HH-Elect-Z1A,Kp,CDHEMBR40HH,Elect,Z1A
178,Buje Aw M-H 110X63,Kp-BJ110X63MH-Elect-Z1A,Kp,BJ110X63MH,Elect,Z1A
179,Codo Aw 90 H-H 40,Kp-CD90HH40-Elect-Z1A,Kp,CD90HH40,Elect,Z1A
180,Codo Aw 45 H-H 40,Kp-CD45HH40-Elect-Z1A,Kp,CD45HH40,Elect,Z1A
181,Tubo Aw Mac-Hem 2;00 Mt 63,Kp-TUBMacH2-63-Elect-Z1A,Kp,TUBMacH2-63,Elect,Z1A
182,Tapa 3;2 40,Kp-TP3;2-40-Elect-Z1A,Kp,TP3;2-40,Elect,Z1A
183,Codo Aw 45 M-H 50,Kp-CD45MH50-Elect-Z1A,Kp,CD45MH50,Elect,Z1A
184,Tubo Aw Mac-Hem 2;00 Mt 40,Kp-TUBMacH2-40-Elect-Z1A,Kp,TUBMacH2-40,Elect,Z1A
185,Ramal Aw 45 110X63 M-H,Kp-RM45MH110X63-Elect-Z1A,Kp,RM45MH110X63,Elect,Z1A
186,Boca Aw Ac-Cocina 63x50,Kp-BCCocin63x50-Elect-Z1A,Kp,BCCocin63x50,Elect,Z1A
187,Embudo Aw Acanalado C/Rej 20x20,Kp-EMBAcan20x20-Elect-Z1A,Kp,EMBAcan20x20,Elect,Z1A
188,Codo Aw 45 M-H 40,Kp-CD45MH40-Elect-Z1A,Kp,CD45MH40,Elect,Z1A
189,Pileta Aw Poli.15X15 C/Oring,Kp-Pleta15X15Oring-Elect-Z1A,Kp,Pleta15X15Oring,Elect,Z1A
190,Codo Aw 45 M-H 110,Kp-CD45MH110-Elect-Z1A,Kp,CD45MH110,Elect,Z1A
191,O.V Cam Cojinete C/Marco 110 y Tapa,Kp-CamCjnMarcoyTapa110-Elect-Z1A,Kp,CamCjnMarcoyTapa110,Elect,Z1A
192,Ramal Aw 45 63X63 M-H,Kp-RM45MH63X63-Elect-Z1A,Kp,RM45MH63X63,Elect,Z1A
193,O.V CAM Aro Suplementario 10Cm,Kp-CamAroSuplm10-Elect-Z1A,Kp,CamAroSuplm10,Elect,Z1A
194,Codo Aw 90 H-H 110,Kp-CD90HH110-Elect-Z1A,Kp,CD90HH110,Elect,Z1A
195,Codo Aw 45 M-H 63,Kp-CD45MH63-Elect-Z1A,Kp,CD45MH63,Elect,Z1A
196,Ramal Aw 45 110X110 M-H,AN-RM45MH110X110-Crrln-Z3G,AN,RM45MH110X110,Crrln,Z3G
197,Tapas Colector losa Radiante,Klk-TPColectLR-Crrln-Z3G,Klk,TPColectLR,Crrln,Z3G
198,Marcos Colector losa Radiante,AN-MRCColectLR-Crrln-Z3G,AN,MRCColectLR,Crrln,Z3G
199,GenRod Caja Estanca 10X10,AN-CESTAN10X10-Crrln-Z3G,AN,CESTAN10X10,Crrln,Z3G
200,GenRod Caja para Termica 48 Bocas Embutir Plastica Ecoo,AN-CT48B-Sant-Z2B,AN,CT48B,Sant,Z2B
201,ICONIA ROCA MONOC. DUCHA C/T CR,Lflx-DchaIconia-Sant-Z2B,Lflx,DchaIconia,Sant,Z2B
202,Huferjo Caño Rigido 3/4 x 3mts,Lox-CÑPlas3/4-Pnt-Z3G,Lox,CÑPlas3/4,Pnt,Z3G
